wall_time,episode_idx,road_id,sim_time_s,property,rho,status
2026-06-20 02:50:04,0,248,7.37078,P4_heading_alignment,-0.00131,violated
2026-06-20 02:50:04,0,248,7.41927,P5_recovery,-0.0034,violated
2026-06-20 02:50:04,0,248,7.82282,P3_steering_smoothness,-0.06455,violated
2026-06-20 02:50:06,0,248,9.55121,P5_recovery,-0.215,violated
2026-06-20 02:50:06,0,248,9.55121,P6_curvature_safety,-0.0163,violated
2026-06-20 02:50:06,0,248,9.76998,P1_lane_keeping,-0.2717,violated
2026-06-20 02:50:08,0,248,11.27415,P5_recovery,-0.1167,violated
2026-06-20 02:50:09,0,248,12.14588,P5_recovery,-0.0485,violated
2026-06-20 02:50:10,0,248,13.8107,P5_recovery,-0.0434,violated
2026-06-20 02:50:11,0,248,14.83675,P5_recovery,-0.5435,violated
2026-06-20 02:50:13,0,248,16.72144,P5_recovery,-0.2117,violated
2026-06-20 02:50:16,0,248,19.5515,P5_recovery,-0.0136,violated
2026-06-20 02:50:23,1,172,4.2137,P5_recovery,-0.0108,violated
2026-06-20 02:50:25,1,172,6.36778,P5_recovery,-0.0866,violated
2026-06-20 02:50:25,1,172,6.43089,P6_curvature_safety,-0.00197,violated
2026-06-20 02:50:25,1,172,6.65579,P3_steering_smoothness,-0.08032,violated
2026-06-20 02:50:25,1,172,6.7229,P1_lane_keeping,-0.0379,violated
2026-06-20 02:50:27,1,172,8.33829,P4_heading_alignment,-0.04069,violated
2026-06-20 02:50:27,1,172,8.546,P5_recovery,-0.1628,violated
2026-06-20 02:50:29,1,172,9.87806,P5_recovery,-0.1644,violated
2026-06-20 02:50:30,1,172,11.09958,P5_recovery,-0.2181,violated
2026-06-20 02:50:32,1,172,13.53054,P5_recovery,-0.1187,violated
2026-06-20 02:50:34,1,172,14.89519,P5_recovery,-0.1276,violated
2026-06-20 02:50:35,1,172,15.92995,P5_recovery,-0.0246,violated
2026-06-20 02:50:36,1,172,17.09643,P5_recovery,-0.0618,violated
2026-06-20 02:50:38,1,172,18.87936,P5_recovery,-0.0089,violated
2026-06-20 02:50:39,1,172,19.81562,P5_recovery,-0.3092,violated
2026-06-20 02:50:41,1,172,21.84509,P5_recovery,-0.3537,violated
2026-06-20 02:50:43,1,172,24.23434,P5_recovery,-0.2659,violated
2026-06-20 02:50:44,1,172,25.55535,P5_recovery,-0.5458,violated
2026-06-20 02:50:48,2,489,1.79445,P5_recovery,-0.0258,violated
2026-06-20 02:50:48,2,489,2.07327,P6_curvature_safety,-0.00874,violated
2026-06-20 02:50:50,2,489,3.96035,P1_lane_keeping,-0.136,violated
2026-06-20 02:50:50,2,489,3.96035,P4_heading_alignment,-0.15842,violated
2026-06-20 02:50:50,2,489,4.06901,P3_steering_smoothness,-0.21645,violated
2026-06-20 02:50:52,2,489,5.88546,P5_recovery,-0.2414,violated
2026-06-20 02:50:55,2,489,8.41426,P5_recovery,-0.1012,violated
2026-06-20 02:51:05,3,240,5.87403,P5_recovery,-0.05,violated
2026-06-20 02:51:05,3,240,6.17958,P6_curvature_safety,-0.00135,violated
2026-06-20 02:51:06,3,240,7.14941,P4_heading_alignment,-0.00088,violated
2026-06-20 02:51:06,3,240,7.37805,P5_recovery,-0.0624,violated
2026-06-20 02:51:07,3,240,7.64021,P3_steering_smoothness,-0.12264,violated
2026-06-20 02:51:07,3,240,7.71327,P1_lane_keeping,-0.099,violated
2026-06-20 02:51:08,3,240,9.05303,P5_recovery,-0.0087,violated
2026-06-20 02:51:09,3,240,9.67231,P5_recovery,-0.0657,violated
2026-06-20 02:51:11,3,240,12.13175,P5_recovery,-0.1061,violated
2026-06-20 02:51:13,3,240,13.71609,P5_recovery,-0.1415,violated
2026-06-20 02:51:14,3,240,14.90684,P5_recovery,-0.1982,violated
2026-06-20 02:51:16,3,240,16.84211,P5_recovery,-0.1061,violated
2026-06-20 02:51:17,3,240,17.76116,P5_recovery,-0.1077,violated
2026-06-20 02:51:19,3,240,19.80321,P5_recovery,-0.2444,violated
2026-06-20 02:51:20,3,240,21.14221,P5_recovery,-0.2378,violated
2026-06-20 02:51:22,3,240,22.78614,P5_recovery,-0.0878,violated
2026-06-20 02:51:23,3,240,24.42311,P5_recovery,-0.011,violated
2026-06-20 02:51:24,3,240,25.4263,P5_recovery,-0.1041,violated
2026-06-20 02:51:26,3,240,27.23314,P5_recovery,-0.304,violated
2026-06-20 02:51:28,3,240,29.27966,P5_recovery,-0.0212,violated
2026-06-20 02:51:29,3,240,30.11429,P5_recovery,-0.2594,violated
2026-06-20 02:51:39,4,352,7.8576,P5_recovery,-0.0918,violated
2026-06-20 02:51:40,4,352,8.21423,P3_steering_smoothness,-0.02363,violated
2026-06-20 02:51:40,4,352,9.02088,P5_recovery,-0.0036,violated
2026-06-20 02:51:41,4,352,9.39471,P4_heading_alignment,-0.06363,violated
2026-06-20 02:51:41,4,352,9.62112,P5_recovery,-0.0023,violated
2026-06-20 02:51:41,4,352,9.7692,P6_curvature_safety,-0.00049,violated
2026-06-20 02:51:41,4,352,9.85412,P1_lane_keeping,-0.0812,violated
2026-06-20 02:51:43,4,352,11.60281,P5_recovery,-0.1026,violated
2026-06-20 02:51:44,4,352,12.35968,P5_recovery,-0.0096,violated
2026-06-20 02:51:46,4,352,14.55069,P5_recovery,-0.0835,violated
2026-06-20 02:51:47,4,352,15.74649,P5_recovery,-0.1484,violated
2026-06-20 02:51:49,4,352,18.04544,P5_recovery,-0.0115,violated
2026-06-20 02:51:50,4,352,18.78263,P5_recovery,-0.2264,violated
2026-06-20 02:51:52,4,352,20.17822,P5_recovery,-0.1054,violated
2026-06-20 02:51:53,4,352,21.86396,P5_recovery,-0.0959,violated
2026-06-20 02:51:55,4,352,23.64901,P5_recovery,-0.1063,violated
2026-06-20 02:51:56,4,352,24.97721,P5_recovery,-0.0256,violated
2026-06-20 02:51:58,4,352,26.30075,P5_recovery,-0.3683,violated
2026-06-20 02:52:00,4,352,28.28574,P5_recovery,-0.3209,violated
2026-06-20 02:52:01,4,352,29.46862,P5_recovery,-0.2351,violated
2026-06-20 02:52:03,4,352,31.78831,P5_recovery,-0.3011,violated
2026-06-20 02:52:05,4,352,33.44838,P5_recovery,-0.2283,violated
2026-06-20 02:52:06,4,352,34.73803,P5_recovery,-0.3943,violated
2026-06-20 02:52:08,4,352,36.77101,P5_recovery,-0.299,violated
2026-06-20 02:52:10,4,352,38.15577,P5_recovery,-0.356,violated
2026-06-20 02:52:12,4,352,40.38469,P5_recovery,-0.1865,violated
2026-06-20 02:52:13,4,352,41.86296,P5_recovery,-0.4,violated
2026-06-20 02:52:16,4,352,44.20024,P5_recovery,-0.193,violated
2026-06-20 02:52:17,4,352,46.02521,P5_recovery,-0.4215,violated
2026-06-20 02:52:19,4,352,47.55863,P5_recovery,-0.0362,violated
2026-06-20 02:52:21,4,352,50.04137,P5_recovery,-0.056,violated
2026-06-20 02:52:23,4,352,51.09661,P5_recovery,-0.3959,violated
2026-06-20 02:52:33,5,647,7.81632,P5_recovery,-0.0225,violated
2026-06-20 02:52:33,5,647,7.9718,P6_curvature_safety,-0.01287,violated
2026-06-20 02:52:34,5,647,8.25514,P3_steering_smoothness,-0.06707,violated
2026-06-20 02:52:44,6,952,7.65221,P5_recovery,-0.0146,violated
2026-06-20 02:52:44,6,952,7.91014,P6_curvature_safety,-0.0141,violated
2026-06-20 02:52:56,7,401,9.54113,P5_recovery,-0.0852,violated
2026-06-20 02:52:56,7,401,9.62021,P6_curvature_safety,-0.01492,violated
2026-06-20 02:52:56,7,401,9.84676,P3_steering_smoothness,-0.02937,violated
2026-06-20 02:52:56,7,401,9.92629,P1_lane_keeping,-0.0491,violated
2026-06-20 02:52:57,7,401,10.69621,P4_heading_alignment,-0.05701,violated
2026-06-20 02:52:58,7,401,11.10018,P5_recovery,-0.0439,violated
2026-06-20 02:52:58,7,401,11.85175,P5_recovery,-0.0546,violated
2026-06-20 02:53:00,7,401,13.71299,P5_recovery,-0.0223,violated
2026-06-20 02:53:01,7,401,14.40646,P5_recovery,-0.0609,violated
2026-06-20 02:53:03,7,401,16.5247,P5_recovery,-0.0289,violated
2026-06-20 02:53:04,7,401,17.73256,P5_recovery,-0.2594,violated
2026-06-20 02:53:07,7,401,20.15912,P5_recovery,-0.178,violated
2026-06-20 02:53:08,7,401,21.36397,P5_recovery,-0.0161,violated
2026-06-20 02:53:09,7,401,22.48196,P5_recovery,-0.3242,violated
