wall_time,episode_idx,road_id,agent_type,model_name,prioritization_method,episode_length,episode_time_s,success,max_speed,max_abs_cte,violated_properties,pending_properties,P1_lane_keeping_rho,P1_lane_keeping_status,P2_speed_stability_rho,P2_speed_stability_status,P3_steering_smoothness_rho,P3_steering_smoothness_status,P4_heading_alignment_rho,P4_heading_alignment_status,P5_recovery_rho,P5_recovery_status,P6_curvature_safety_rho,P6_curvature_safety_status
2026-06-20 02:32:04,0,smoke,supervised,model.h5,hybrid,3,0.3,1,12.0,0.2,0,2,0.8,satisfied,nan,pending,0.65,satisfied,nan,pending,0.3,satisfied,0.4,satisfied
2026-06-20 02:50:17,0,248,supervised,mixed-dave2.h5,hybrid,266,20.49777,1,31.30452,2.0117,5,0,-1.0117,violated,13.53496,satisfied,-0.25,violated,-0.38506,violated,-1.463,violated,-0.01931,violated
2026-06-20 02:50:45,1,172,supervised,mixed-dave2.h5,hybrid,318,25.95207,1,30.1302,2.4192,5,0,-1.4192,violated,13.32364,satisfied,-0.25,violated,-0.43727,violated,-1.5862,violated,-0.01988,violated
2026-06-20 02:50:57,2,489,supervised,mixed-dave2.h5,hybrid,105,10.78041,0,27.56988,3.8875,5,0,-2.8875,violated,14.14228,satisfied,-0.25,violated,-0.92548,violated,-3.3875,violated,-0.01566,violated
2026-06-20 02:51:30,3,240,supervised,mixed-dave2.h5,hybrid,370,30.72382,1,30.86964,1.9936,5,0,-0.9936,violated,13.25524,satisfied,-0.25,violated,-0.38365,violated,-1.4936,violated,-0.01729,violated
2026-06-20 02:52:24,4,352,supervised,mixed-dave2.h5,hybrid,522,52.37909,1,30.7962,2.3157,5,0,-1.3157,violated,12.34624,satisfied,-0.25,violated,-0.45905,violated,-1.4279,violated,-0.01751,violated
2026-06-20 02:52:35,5,647,supervised,mixed-dave2.h5,hybrid,164,9.15042,0,30.97296,0.9506,2,0,0.0494,satisfied,20.87176,satisfied,-0.06707,violated,0.0179,satisfied,0.2616,satisfied,-0.01287,violated
2026-06-20 02:52:45,6,952,supervised,mixed-dave2.h5,hybrid,153,8.63114,0,31.03704,0.6583,2,0,0.3417,satisfied,20.33716,satisfied,0.1817,satisfied,0.16425,satisfied,-0.1326,violated,-0.0141,violated
2026-06-20 02:53:16,7,401,supervised,mixed-dave2.h5,hybrid,359,29.14719,1,31.31928,2.2305,5,0,-1.2305,violated,13.19224,satisfied,-0.25,violated,-0.38258,violated,-0.3162,violated,-0.01933,violated
2026-06-20 02:53:32,8,220,supervised,mixed-dave2.h5,hybrid,226,14.80824,1,31.3254,2.0383,5,0,-1.0383,violated,15.6244,satisfied,-0.25,violated,-0.2613,violated,-0.1625,violated,-0.02057,violated
2026-06-20 02:53:50,9,61,supervised,mixed-dave2.h5,hybrid,221,15.72168,0,31.26132,3.0507,5,0,-2.0507,violated,13.89964,satisfied,-0.25,violated,-0.61789,violated,-2.5507,violated,-0.0099,violated
2026-06-20 02:57:56,0,248,supervised,mixed-dave2.h5,hybrid,278,20.19903,1,31.04964,2.0622,5,0,-1.0622,violated,15.15892,satisfied,-0.25,violated,-0.26222,violated,-1.1548,violated,-0.01817,violated
2026-06-20 02:58:23,1,172,supervised,mixed-dave2.h5,hybrid,329,25.62338,1,29.76372,2.582,4,0,-1.582,violated,14.16496,satisfied,-0.25,violated,-0.40264,violated,0.2124,satisfied,-0.01976,violated
2026-06-20 02:58:43,2,489,supervised,mixed-dave2.h5,hybrid,260,18.14518,1,30.37824,2.2092,5,0,-1.2092,violated,15.69964,satisfied,-0.25,violated,-0.30921,violated,-0.4197,violated,-0.01593,violated
2026-06-20 02:59:16,3,240,supervised,mixed-dave2.h5,hybrid,367,31.11416,1,30.54276,2.0277,5,0,-1.0277,violated,12.34696,satisfied,-0.25,violated,-0.38806,violated,-0.5027,violated,-0.01732,violated
2026-06-20 03:00:09,4,352,supervised,mixed-dave2.h5,hybrid,509,51.19533,0,30.88764,3.0971,5,0,-2.0971,violated,11.74612,satisfied,-0.25,violated,-0.54039,violated,-2.5971,violated,-0.01947,violated
2026-06-20 03:03:50,0,248,supervised,mixed-dave2.h5,hybrid,219,15.82066,0,31.05504,3.6626,5,0,-2.6626,violated,15.12976,satisfied,-0.25,violated,-0.94489,violated,-3.1626,violated,-0.01817,violated
2026-06-20 03:04:03,1,172,supervised,mixed-dave2.h5,hybrid,183,11.35202,0,30.23928,3.4998,5,0,-2.4998,violated,19.98256,satisfied,-0.03682,violated,-0.68245,violated,-2.9998,violated,-0.01976,violated
