road_id,P1_lane_keeping_rho,P1_lane_keeping_ok,P2_speed_stability_rho,P2_speed_stability_ok,P3_steering_smoothness_rho,P3_steering_smoothness_ok,P4_heading_alignment_rho,P4_heading_alignment_ok,P5_recovery_rho,P5_recovery_ok,P6_curvature_safety_rho,P6_curvature_safety_ok,max_abs_cte,mean_abs_cte,cte_boundary_violation_rate,cte_near_boundary_rate,speed_over_threshold_rate,steering_jerk_rate_0p1,mean_abs_steering_delta,cte_spike_count_gt_1p0,cte_recovery_count_within_2p5s,cte_recovery_success_rate_2p5s,cte_recovery_latency_mean_s,cte_recovery_latency_max_s,mean_abs_cte_on_high_curvature,max_abs_cte_on_high_curvature,mean_abs_throttle_delta,throttle_jerk_rate_0p2
0,-0.2889,False,20.5398,True,-0.128,False,0.0031,True,-0.1863,False,-0.0371,False,1.0889,0.27039006024096385,0.0,0.024096385542168676,0.4608433734939759,0.006042296072507553,0.017542537764350455,1,1,1.0,1.0177099999999992,1.0177099999999992,0.4601040983606558,1.0889,,
1,-0.1197,False,20.8307,True,0.0202,True,0.1084,True,0.0578,True,-0.034,False,0.9197,0.2808430711610487,0.0,0.0,0.36704119850187267,0.0037593984962406013,0.017381992481203003,0,0,,,,0.40843178294573645,0.9197,,
2,-0.1666,False,20.9355,True,0.0019,True,0.0796,True,-0.3578,False,-0.035,False,0.9666,0.28314227053140095,0.0,0.0,0.5120772946859904,0.009685230024213076,0.017169225181598066,0,0,,,,0.47344640883977906,0.9666,,
3,-0.5044,False,20.8077,True,0.0175,True,0.1006,True,-0.8044,False,-0.0386,False,1.3044,0.3623025423728814,0.0,0.1059322033898305,0.6271186440677966,0.00851063829787234,0.015654808510638295,1,0,0.0,,,0.941085,1.3044,,
4,-0.2874,False,20.8599,True,-0.0621,False,-0.0094,False,-0.4167,False,-0.0324,False,1.0874,0.2585648255813953,0.0,0.023255813953488372,0.3546511627906977,0.008746355685131196,0.018502128279883387,1,1,1.0,1.01276,1.01276,0.4010212435233161,1.0874,,
5,-0.0034,False,20.9031,True,0.0241,True,0.0837,True,-0.0187,False,-0.0339,False,0.8034,0.2364021084337349,0.0,0.0,0.5753012048192772,0.0,0.014793081570996978,0,0,,,,0.36970084745762716,0.8034,,
6,-0.2147,False,20.7418,True,0.0239,True,0.0634,True,-0.0973,False,-0.0326,False,1.0147,0.37992121212121216,0.0,0.015151515151515152,0.42676767676767674,0.007594936708860759,0.01936040506329114,1,1,1.0,2.38579,2.38579,0.5339111675126903,1.0147,,
7,-0.3088,False,21.1817,True,-0.0533,False,0.0731,True,-0.0358,False,-0.0365,False,1.1088,0.3732931937172774,0.0,0.049738219895287955,0.4214659685863874,0.015748031496062992,0.01985643044619423,2,2,1.0,1.3245300000000002,1.4244900000000005,0.5402536312849162,1.1088,,
8,-0.1459,False,20.1345,True,-0.0357,False,0.0298,True,-0.2744,False,-0.036,False,0.9459,0.3362551867219917,0.0,0.0,0.4896265560165975,0.002079002079002079,0.018761933471933473,0,0,,,,0.39869847094801225,0.9459,,
9,-0.1988,False,20.9204,True,0.0049,True,0.0684,True,-0.1885,False,-0.0367,False,0.9988,0.35239410256410253,0.0,0.0,0.4307692307692308,0.007712082262210797,0.01957994858611825,0,0,,,,0.5018127906976745,0.9988,,
