metric,count,mean,median,p95,max,winsorized_mean_1_99
max_abs_cte,973,1.0727779033915723,1.0183,1.27582,61.2872,1.0101886947584788
mean_abs_cte,973,0.33636925701578574,0.333442566191446,0.4629755518207283,0.6270169550173011,0.3372994988370384
cte_boundary_violation_rate,973,0.00022698275454933242,0.0,0.0,0.1246684350132626,2.8681441990486632e-05
cte_near_boundary_rate,973,0.023787075233647738,0.00881057268722467,0.09327214090796328,0.2681992337164751,0.0233992068709484
speed_over_threshold_rate,973,0.42382549072625375,0.42724458204334365,0.6233568366226128,0.743849493487699,0.42432890557785385
steering_jerk_rate_0p1,973,0.008516660296133766,0.007352941176470588,0.020807478093779568,0.07142857142857142,0.008423811329447842
mean_abs_steering_delta,973,0.01874369097461205,0.018835197215777262,0.0244537931490738,0.044935,0.0187374671447037
cte_spike_count_gt_1p0,973,0.7810894141829393,1.0,2.0,4.0,0.7780061664953751
cte_recovery_count_within_2p5s,973,0.3997944501541624,0.0,1.0,3.0,0.3987667009249743
cte_recovery_success_rate_2p5s,550,0.5337878787878788,0.5,1.0,1.0,0.5337878787878788
cte_recovery_latency_mean_s,345,1.3289904589371981,1.2682700000000011,2.0140500000000006,2.4985800000000005,1.3296976114009662
cte_recovery_latency_max_s,345,1.3491687826086958,1.2750199999999996,2.0832019999999996,2.4985800000000005,1.349882331594203
mean_abs_cte_on_high_curvature,968,0.48997551262904365,0.47139108105551875,0.6994684413771711,1.0782943396226414,0.4903077874447051
max_abs_cte_on_high_curvature,968,1.0743092975206612,1.0183499999999999,1.2722099999999998,61.2872,1.0115351136363635
