road_id,property,segment_id,start_time_s,end_time_s,duration_s
0,P1_lane_keeping,1,12.52225,13.28679,0.76454
0,P3_steering_smoothness,1,12.62436,12.62436,0.0
0,P3_steering_smoothness,2,12.72613,13.08898,0.36285
0,P5_recovery,1,15.55835,16.93248,1.37413
0,P6_curvature_safety,1,10.39178,11.35707,0.96529
0,P6_curvature_safety,2,12.26477,13.54015,1.27538
0,P6_curvature_safety,3,15.41137,16.93248,1.52111
1,P1_lane_keeping,1,12.41505,13.01471,0.59966
1,P6_curvature_safety,1,4.08137,5.71199,1.63062
1,P6_curvature_safety,2,11.96095,13.53099,1.57004
2,P1_lane_keeping,1,6.82852,7.2827,0.45418
2,P1_lane_keeping,2,19.67127,20.48465,0.81338
2,P5_recovery,1,19.32227,21.0428,1.72053
2,P6_curvature_safety,1,6.36607,7.68819,1.32212
2,P6_curvature_safety,2,9.05963,10.2862,1.22657
2,P6_curvature_safety,3,17.94424,18.41068,0.46644
2,P6_curvature_safety,4,19.11463,21.0428,1.92817
3,P1_lane_keeping,1,10.53298,11.94798,1.415
3,P5_recovery,1,10.17742,11.94798,1.77056
3,P6_curvature_safety,1,10.022,11.94798,1.92598
4,P1_lane_keeping,1,11.39072,12.10019,0.70947
4,P1_lane_keeping,2,17.32871,17.43964,0.11093
4,P3_steering_smoothness,1,11.64913,11.90199,0.25286
4,P4_heading_alignment,1,10.99037,10.99037,0.0
4,P4_heading_alignment,2,11.09008,11.09008,0.0
4,P4_heading_alignment,3,11.1939,11.24264,0.04874
4,P5_recovery,1,16.82298,17.43964,0.61666
4,P6_curvature_safety,1,6.52943,7.13267,0.60324
4,P6_curvature_safety,2,10.17285,10.17285,0.0
4,P6_curvature_safety,3,10.37815,10.5374,0.15925
4,P6_curvature_safety,4,11.13817,12.40919,1.27102
4,P6_curvature_safety,5,13.82757,14.9476,1.12003
4,P6_curvature_safety,6,16.67444,17.43964,0.7652
5,P1_lane_keeping,1,15.57152,15.57152,0.0
5,P5_recovery,1,15.10485,16.12678,1.02193
5,P6_curvature_safety,1,7.69317,8.96499,1.27182
5,P6_curvature_safety,2,14.95726,16.32481,1.36755
6,P1_lane_keeping,1,6.4522,7.62346,1.17126
6,P1_lane_keeping,2,15.49747,16.10576,0.60829
6,P5_recovery,1,5.94769,8.33952,2.39183
6,P6_curvature_safety,1,5.59364,8.74164,3.148
6,P6_curvature_safety,2,13.71889,16.20504,2.48615
6,P6_curvature_safety,3,17.27491,18.54003,1.26512
7,P1_lane_keeping,1,10.57585,11.54402,0.96817
7,P1_lane_keeping,2,13.46915,14.43319,0.96404
7,P3_steering_smoothness,1,10.83396,10.83396,0.0
7,P3_steering_smoothness,2,10.93499,10.98187,0.04688
7,P5_recovery,1,10.16348,11.89868,1.7352
7,P6_curvature_safety,1,9.9596,11.99957,2.03997
7,P6_curvature_safety,2,12.91027,14.64001,1.72974
7,P6_curvature_safety,3,15.70422,17.33451,1.63029
8,P1_lane_keeping,1,9.36837,10.53781,1.16944
8,P1_lane_keeping,2,21.10535,21.55695,0.4516
8,P3_steering_smoothness,1,21.25491,21.25491,0.0
8,P3_steering_smoothness,2,21.36077,21.36077,0.0
8,P5_recovery,1,2.15206,2.66181,0.50975
8,P5_recovery,2,8.25264,12.15965,3.90701
8,P6_curvature_safety,1,1.90547,2.92301,1.01754
8,P6_curvature_safety,2,7.89429,12.57206,4.67777
8,P6_curvature_safety,3,20.74623,21.967,1.22077
8,P6_curvature_safety,4,24.34455,24.50183,0.15728
9,P1_lane_keeping,1,11.74137,12.96068,1.21931
9,P5_recovery,1,11.08076,13.61601,2.53525
9,P6_curvature_safety,1,10.87062,13.92406,3.05344
9,P6_curvature_safety,2,14.27505,15.09542,0.82037
9,P6_curvature_safety,3,16.25732,17.48181,1.22449
10,P1_lane_keeping,1,4.53663,5.507,0.97037
10,P1_lane_keeping,2,14.08916,14.85152,0.76236
10,P1_lane_keeping,3,17.0355,17.69327,0.65777
10,P1_lane_keeping,4,19.46887,19.7263,0.25743
10,P3_steering_smoothness,1,14.44477,14.44477,0.0
10,P5_recovery,1,4.08839,7.37984,3.29145
10,P5_recovery,2,13.67393,15.25494,1.58101
10,P5_recovery,3,19.06663,20.18279,1.11616
10,P6_curvature_safety,1,1.94707,3.22474,1.27767
10,P6_curvature_safety,2,3.63068,7.5412,3.91052
10,P6_curvature_safety,3,13.42863,15.40242,1.97379
10,P6_curvature_safety,4,16.37325,17.84116,1.46791
10,P6_curvature_safety,5,18.96033,20.386,1.42567
11,P1_lane_keeping,1,6.74933,7.11126,0.36193
11,P1_lane_keeping,2,9.14414,10.16128,1.01714
11,P1_lane_keeping,3,20.72699,20.82602,0.09903
11,P5_recovery,1,8.84423,12.03472,3.19049
11,P6_curvature_safety,1,6.19424,7.62614,1.4319
11,P6_curvature_safety,2,8.6858,12.24088,3.55508
11,P6_curvature_safety,3,16.00886,16.00886,0.0
11,P6_curvature_safety,4,20.27351,21.38538,1.11187
12,P1_lane_keeping,1,8.6473,9.66677,1.01947
12,P1_lane_keeping,2,12.45395,13.01887,0.56492
12,P5_recovery,1,8.03738,10.42069,2.38331
12,P5_recovery,2,11.78907,13.78004,1.99097
12,P5_recovery,3,17.37575,18.39557,1.01982
12,P5_recovery,4,20.0174,20.77784,0.76044
12,P5_recovery,5,20.87625,20.93676,0.06051
12,P6_curvature_safety,1,5.54739,5.54739,0.0
12,P6_curvature_safety,2,5.6489,5.6489,0.0
12,P6_curvature_safety,3,7.6849,10.72493,3.04003
12,P6_curvature_safety,4,11.48619,13.93014,2.44395
12,P6_curvature_safety,5,14.99099,16.16402,1.17303
12,P6_curvature_safety,6,17.27978,18.54373,1.26395
12,P6_curvature_safety,7,19.71164,21.73875,2.02711
12,P6_curvature_safety,8,23.46646,24.68096,1.2145
13,P5_recovery,1,9.75423,11.48962,1.73539
13,P6_curvature_safety,1,9.55746,11.78753,2.23007
14,P1_lane_keeping,1,10.97714,11.17173,0.19459
14,P1_lane_keeping,2,19.5065,20.317,0.8105
14,P3_steering_smoothness,1,19.6559,19.85273,0.19683
14,P5_recovery,1,13.51766,14.83133,1.31367
14,P5_recovery,2,17.31876,18.13542,0.81666
14,P5_recovery,3,19.20208,20.72383,1.52175
14,P6_curvature_safety,1,10.25746,11.74068,1.48322
14,P6_curvature_safety,2,13.31069,16.24793,2.93724
14,P6_curvature_safety,3,17.6793,18.28192,0.60262
14,P6_curvature_safety,4,19.04412,20.72383,1.67971
15,P1_lane_keeping,1,17.02212,17.88791,0.86579
15,P3_steering_smoothness,1,17.27528,17.37243,0.09715
15,P5_recovery,1,16.77334,18.24141,1.46807
15,P6_curvature_safety,1,9.96703,11.84107,1.87404
15,P6_curvature_safety,2,13.01156,14.28448,1.27292
15,P6_curvature_safety,3,15.09028,15.65416,0.56388
15,P6_curvature_safety,4,16.67123,18.44987,1.77864
16,P1_lane_keeping,1,19.98753,20.84593,0.8584
16,P3_steering_smoothness,1,20.08709,20.18709,0.1
16,P3_steering_smoothness,2,20.29125,20.34108,0.04983
16,P3_steering_smoothness,3,20.43753,20.48726,0.04973
16,P5_recovery,1,11.03713,12.61438,1.57725
16,P5_recovery,2,19.73025,21.40258,1.67233
16,P6_curvature_safety,1,10.6838,12.76177,2.07797
16,P6_curvature_safety,2,14.03853,16.63188,2.59335
16,P6_curvature_safety,3,18.10204,18.65928,0.55724
16,P6_curvature_safety,4,19.63154,21.60988,1.97834
17,P1_lane_keeping,1,16.78498,17.64477,0.85979
17,P3_steering_smoothness,1,16.89012,17.24454,0.35442
17,P5_recovery,1,9.78178,11.30379,1.52201
17,P5_recovery,2,19.72376,19.78406,0.0603
17,P6_curvature_safety,1,2.38549,3.04517,0.65968
17,P6_curvature_safety,2,9.6322,11.46184,1.82964
17,P6_curvature_safety,3,12.82429,13.94765,1.12336
