road_id,property,violated,violation_segments,total_violation_duration_s
0,P1_lane_keeping,True,1,0.76454
0,P2_speed_stability,False,0,0.0
0,P3_steering_smoothness,True,2,0.36285
0,P4_heading_alignment,False,0,0.0
0,P5_recovery,True,1,1.37413
0,P6_curvature_safety,True,3,3.76178
1,P1_lane_keeping,True,1,0.59966
1,P2_speed_stability,False,0,0.0
1,P3_steering_smoothness,False,0,0.0
1,P4_heading_alignment,False,0,0.0
1,P5_recovery,False,0,0.0
1,P6_curvature_safety,True,2,3.20066
2,P1_lane_keeping,True,2,1.26756
2,P2_speed_stability,False,0,0.0
2,P3_steering_smoothness,False,0,0.0
2,P4_heading_alignment,False,0,0.0
2,P5_recovery,True,1,1.72053
2,P6_curvature_safety,True,4,4.9433
3,P1_lane_keeping,True,1,1.415
3,P2_speed_stability,False,0,0.0
3,P3_steering_smoothness,False,0,0.0
3,P4_heading_alignment,False,0,0.0
3,P5_recovery,True,1,1.77056
3,P6_curvature_safety,True,1,1.92598
4,P1_lane_keeping,True,2,0.8204
4,P2_speed_stability,False,0,0.0
4,P3_steering_smoothness,True,1,0.25286
4,P4_heading_alignment,True,3,0.04874
4,P5_recovery,True,1,0.61666
4,P6_curvature_safety,True,6,3.91874
5,P1_lane_keeping,True,1,0.0
5,P2_speed_stability,False,0,0.0
5,P3_steering_smoothness,False,0,0.0
5,P4_heading_alignment,False,0,0.0
5,P5_recovery,True,1,1.02193
5,P6_curvature_safety,True,2,2.63937
6,P1_lane_keeping,True,2,1.77955
6,P2_speed_stability,False,0,0.0
6,P3_steering_smoothness,False,0,0.0
6,P4_heading_alignment,False,0,0.0
6,P5_recovery,True,1,0.45641
6,P6_curvature_safety,True,3,6.89927
7,P1_lane_keeping,True,2,1.93221
7,P2_speed_stability,False,0,0.0
7,P3_steering_smoothness,True,2,0.04688
7,P4_heading_alignment,False,0,0.0
7,P5_recovery,True,1,1.7352
7,P6_curvature_safety,True,3,5.4
8,P1_lane_keeping,True,2,1.62104
8,P2_speed_stability,False,0,0.0
8,P3_steering_smoothness,True,2,0.0
8,P4_heading_alignment,False,0,0.0
8,P5_recovery,True,2,4.41676
8,P6_curvature_safety,True,4,7.07336
9,P1_lane_keeping,True,1,1.21931
9,P2_speed_stability,False,0,0.0
9,P3_steering_smoothness,False,0,0.0
9,P4_heading_alignment,False,0,0.0
9,P5_recovery,True,1,1.62587
9,P6_curvature_safety,True,3,5.0983
10,P1_lane_keeping,True,4,2.64793
10,P2_speed_stability,False,0,0.0
10,P3_steering_smoothness,True,1,0.0
10,P4_heading_alignment,False,0,0.0
10,P5_recovery,True,3,3.44996
10,P6_curvature_safety,True,5,10.05556
11,P1_lane_keeping,True,3,1.4781
11,P2_speed_stability,False,0,0.0
11,P3_steering_smoothness,False,0,0.0
11,P4_heading_alignment,False,0,0.0
11,P5_recovery,True,1,0.76247
11,P6_curvature_safety,True,4,6.09885
12,P1_lane_keeping,True,2,1.58439
12,P2_speed_stability,False,0,0.0
12,P3_steering_smoothness,False,0,0.0
12,P4_heading_alignment,False,0,0.0
12,P5_recovery,True,5,6.00986
12,P6_curvature_safety,True,8,11.16257
13,P1_lane_keeping,False,0,0.0
13,P2_speed_stability,False,0,0.0
13,P3_steering_smoothness,False,0,0.0
13,P4_heading_alignment,False,0,0.0
13,P5_recovery,True,1,1.73539
13,P6_curvature_safety,True,1,2.23007
14,P1_lane_keeping,True,2,1.00509
14,P2_speed_stability,False,0,0.0
14,P3_steering_smoothness,True,1,0.19683
14,P4_heading_alignment,False,0,0.0
14,P5_recovery,True,3,2.48847
14,P6_curvature_safety,True,4,6.70279
15,P1_lane_keeping,True,1,0.86579
15,P2_speed_stability,False,0,0.0
15,P3_steering_smoothness,True,1,0.09715
15,P4_heading_alignment,False,0,0.0
15,P5_recovery,True,1,1.46807
15,P6_curvature_safety,True,4,5.48948
16,P1_lane_keeping,True,1,0.8584
16,P2_speed_stability,False,0,0.0
16,P3_steering_smoothness,True,3,0.19956
16,P4_heading_alignment,False,0,0.0
16,P5_recovery,True,2,3.24958
16,P6_curvature_safety,True,4,7.2069
17,P1_lane_keeping,True,1,0.85979
17,P2_speed_stability,False,0,0.0
17,P3_steering_smoothness,True,1,0.35442
17,P4_heading_alignment,False,0,0.0
17,P5_recovery,True,2,1.58231
17,P6_curvature_safety,True,5,5.52491
18,P1_lane_keeping,True,1,0.50754
18,P2_speed_stability,False,0,0.0
18,P3_steering_smoothness,True,2,0.10139
18,P4_heading_alignment,False,0,0.0
18,P5_recovery,True,1,0.40478
18,P6_curvature_safety,True,5,4.97622
19,P1_lane_keeping,False,0,0.0
19,P2_speed_stability,False,0,0.0
19,P3_steering_smoothness,False,0,0.0
19,P4_heading_alignment,False,0,0.0
19,P5_recovery,True,1,0.71054
19,P6_curvature_safety,True,3,3.8991
20,P1_lane_keeping,True,1,0.60088
20,P2_speed_stability,False,0,0.0
20,P3_steering_smoothness,True,2,0.30223
20,P4_heading_alignment,False,0,0.0
20,P5_recovery,True,1,0.40895
20,P6_curvature_safety,True,4,5.10446
21,P1_lane_keeping,True,1,0.45291
21,P2_speed_stability,False,0,0.0
21,P3_steering_smoothness,True,1,0.0
21,P4_heading_alignment,False,0,0.0
21,P5_recovery,True,1,0.41093
21,P6_curvature_safety,True,3,4.00415
22,P1_lane_keeping,False,0,0.0
22,P2_speed_stability,False,0,0.0
22,P3_steering_smoothness,False,0,0.0
22,P4_heading_alignment,False,0,0.0
22,P5_recovery,False,0,0.0
22,P6_curvature_safety,False,0,0.0
23,P1_lane_keeping,True,1,0.55329
23,P2_speed_stability,False,0,0.0
23,P3_steering_smoothness,False,0,0.0
23,P4_heading_alignment,False,0,0.0
23,P5_recovery,True,1,0.85663
23,P6_curvature_safety,True,3,6.08734
24,P1_lane_keeping,False,0,0.0
24,P2_speed_stability,False,0,0.0
24,P3_steering_smoothness,False,0,0.0
24,P4_heading_alignment,False,0,0.0
24,P5_recovery,True,2,0.96679
24,P6_curvature_safety,True,4,5.84374
25,P1_lane_keeping,False,0,0.0
25,P2_speed_stability,False,0,0.0
25,P3_steering_smoothness,False,0,0.0
25,P4_heading_alignment,False,0,0.0
25,P5_recovery,True,1,1.26971
25,P6_curvature_safety,True,1,1.4271
26,P1_lane_keeping,False,0,0.0
26,P2_speed_stability,False,0,0.0
26,P3_steering_smoothness,False,0,0.0
26,P4_heading_alignment,False,0,0.0
26,P5_recovery,True,1,1.1683
26,P6_curvature_safety,True,3,4.82
27,P1_lane_keeping,False,0,0.0
27,P2_speed_stability,False,0,0.0
27,P3_steering_smoothness,False,0,0.0
27,P4_heading_alignment,False,0,0.0
27,P5_recovery,True,1,1.3152
27,P6_curvature_safety,True,4,5.17833
28,P1_lane_keeping,True,2,1.4206
28,P2_speed_stability,False,0,0.0
28,P3_steering_smoothness,True,3,0.27037
28,P4_heading_alignment,True,3,0.04965
28,P5_recovery,True,1,1.31475
28,P6_curvature_safety,True,5,4.23448
29,P1_lane_keeping,True,1,0.75812
