road,idx,curvature,str_angle,speed,cte,cl_cross,yaw,rd_hdg,hdg_err,x,y,timestamp
5,1,0.01051,-0.07298,0.00036,0.0,0,0.0,-1.49889,1.49889,100.1829,100.9097,0.0378
5,1,0.01051,-0.07412,0.0,0.0,0,0.0,-1.49889,1.49889,100.1829,100.9097,0.07458
5,1,0.01051,-0.07597,0.0,0.0,0,0.0,-1.49889,1.49889,100.1829,100.9097,0.12351
5,1,0.01051,-0.07646,1.03104,-0.0002,0,-1.48014,-1.49889,0.01875,100.1839,100.8987,0.18358
5,1,0.01051,-0.079,1.81836,-0.0006,0,-1.4745,-1.49889,0.02438,100.1856,100.8811,0.23491
5,1,0.01051,-0.07283,2.95488,-0.0016,0,-1.47739,-1.49889,0.0215,100.1896,100.8384,0.28192
5,1,0.01051,-0.07368,3.65148,-0.0025,0,-1.47499,-1.49889,0.0239,100.1933,100.7999,0.32978
5,1,0.01051,-0.06726,4.788,-0.0042,0,-1.47546,-1.49889,0.02343,100.2003,100.7267,0.37969
5,1,0.01051,-0.06558,5.90832,-0.0064,0,-1.47415,-1.49889,0.02474,100.2092,100.6349,0.4292
5,1,0.01051,-0.06065,6.64956,-0.0082,0,-1.47598,-1.49889,0.02291,100.216,100.5634,0.48813
5,2,0.01022,-0.05678,7.74648,-0.0111,0,-1.47396,-1.50625,0.0323,100.2279,100.4409,0.53675
5,2,0.01022,-0.04947,8.46756,-0.0124,0,-1.47502,-1.50625,0.03123,100.2367,100.3493,0.58639
5,2,0.01022,-0.05119,9.5346,-0.0173,0,-1.47392,-1.50625,0.03233,100.2515,100.197,0.63613
5,2,0.01022,-0.04824,10.23336,-0.0209,0,-1.47406,-1.50625,0.03219,100.2623,100.0857,0.68569
5,2,0.01022,-0.04734,11.26332,-0.0268,0,-1.47392,-1.50625,0.03234,100.2799,99.9046,0.73327
5,3,0.00992,-0.04596,11.93508,-0.0312,0,-1.4728,-1.51342,0.04061,100.2927,99.7744,0.79338
5,3,0.00992,-0.04294,12.9222,-0.038,0,-1.47198,-1.51342,0.04143,100.3134,99.5656,0.84495
5,3,0.00992,-0.0415,13.56372,-0.0443,0,-1.47126,-1.51342,0.04215,100.3282,99.4174,0.89218
5,3,0.00992,-0.04943,14.50368,-0.0545,0,-1.47003,-1.51342,0.04338,100.352,99.182,0.93961
5,4,0.00962,-0.03902,15.1128,-0.0618,0,-1.46951,-1.52037,0.05086,100.3688,99.0167,0.98735
5,4,0.00962,-0.01944,16.00128,-0.0743,0,-1.46748,-1.52037,0.05289,100.3958,98.7563,1.04468
5,4,0.00962,0.00275,16.85988,-0.0892,0,-1.46598,-1.52037,0.05439,100.4247,98.4816,1.09443
5,5,0.0093,0.03114,17.41824,-0.0996,0,-1.46698,-1.5271,0.06012,100.4446,98.2906,1.14351
5,5,0.0093,0.03409,18.22392,-0.1157,0,-1.46903,-1.5271,0.05807,100.475,97.9929,1.19089
5,5,0.0093,0.04554,18.55764,-0.1268,0,-1.4733,-1.5271,0.05381,100.4951,97.7874,1.24695
5,6,0.00899,0.04212,19.42596,-0.1427,0,-1.47715,-1.53362,0.05647,100.5249,97.4701,1.29865
5,6,0.00899,0.05863,19.68408,-0.154,0,-1.4808,-1.53362,0.05282,100.5446,97.2518,1.34898
5,7,0.00867,0.06857,20.15316,-0.171,0,-1.48314,-1.53992,0.05678,100.5742,96.915,1.3989
5,7,0.00867,0.07876,21.09132,-0.1821,0,-1.48716,-1.53992,0.05276,100.5937,96.6824,1.44711
5,8,0.00834,0.089,21.65112,-0.1995,0,-1.49126,-1.54599,0.05474,100.6221,96.3261,1.49721
5,8,0.00834,0.08296,22.07844,-0.2099,1,-1.49591,-1.54599,0.05009,100.6404,96.0822,1.5467
